,MovieID,Title,Genres,Pure_Rating_avg
9887,53883,"Power of Nightmares: The Rise of the Politics of Fear, The (2004)",Documentary,4.991371084996809
9008,32657,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",Animation|Drama,4.852789213896748
9059,33264,Satan's Tango (SÃ¡tÃ¡ntangÃ³) (1994),Drama,4.822107362042069
10387,61742,Maradona by Kusturica (2008),Documentary,4.791956781687443
8384,25975,"Life of Oharu, The (Saikaku ichidai onna) (1952)",Drama,4.757247696770888
4355,4454,More (1998),Animation|IMAX|Sci-Fi,4.757132129163241
8401,26073,"Human Condition III, The (Ningen no joken III) (1961)",Drama|War,4.7210717135765305
8395,26048,"Human Condition II, The (Ningen no joken II) (1959)",Drama|War,4.7210717135765305
10530,64280,Hospital (1970),Documentary,4.719715046310588
10570,65001,Constantine's Sword (2007),Documentary,4.71315008225889
5091,5194,Who's Singin' Over There? (a.k.a. Who Sings Over There) (Ko to tamo peva) (1980),Comedy,4.669438198292667
8396,26049,Fires on the Plain (Nobi) (1959),Drama|War,4.6054585800223276
8852,31545,"Hole, The (a.k.a. Night Watch, The) (Trou, Le) (1960)",Crime|Film-Noir,4.603511339982804
7012,7140,"Legend of Leigh Bowery, The (2002)",Documentary,4.582979683637352
3141,3226,Hellhounds on My Trail (1999),Documentary,4.56566373230999
10332,60990,"End of Summer, The (Kohayagawa-ke no aki) (1961)",Drama,4.553756080170694
5743,5849,I'm Starting From Three (Ricomincio da Tre) (1981),Comedy,4.551254206745209
10479,63276,Crows Zero (KurÃ´zu zero) (2007),Action,4.535279095994954
10507,63808,"Class, The (Entre les Murs) (2008)",Drama,4.478307030246129
10536,64408,"Sun Shines Bright, The (1953)",Comedy|Drama,4.469230394400022
9442,44653,"Money (Argent, L') (1983)",Crime|Drama,4.4450440314898145
10540,64501,Che: Part Two (2008),Drama|War,4.4336031051695395
8554,26649,Lonesome Dove (1989),Adventure|Drama|Western,4.397309959639272
315,318,"Shawshank Redemption, The (1994)",Drama,4.354728501410217
10178,58808,"Last Hangman, The (2005)",Drama,4.354121119657935
10287,60391,Aleksandra (2007),Drama|War,4.351738059115556
10413,62254,"Funeral, The (Ososhiki) (1984)",Comedy,4.344726761379421
10374,61475,August Evening (2007),Drama,4.333032895601663
8576,26743,Only Yesterday (Omohide poro poro) (1991),Animation|Drama,4.309575662171371
10345,61236,Waltz With Bashir (Vals im Bashir) (2008),Animation|Documentary|War,4.300347992339147
843,858,"Godfather, The (1972)",Crime|Drama,4.289995166968981
8827,31309,Rocco and His Brothers (Rocco e i suoi fratelli) (1960),Crime|Drama,4.283868814120808
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.2823285968197355
8415,26113,"Best Man, The (1964)",Comedy|Drama,4.271381916707481
10533,64321,"Friend of Mine, A (Ein Freund von mir) (2006)",Comedy|Drama,4.256396920934929
523,527,Schindler's List (1993),Drama|War,4.25565647513101
6772,6896,Shoah (1985),Documentary|War,4.252612317319491
6853,6981,"Word, The (Ordet) (1955)",Drama,4.2386386946840515
10364,61357,Trouble the Water (2008),Documentary,4.236121864720632
10552,64839,"Wrestler, The (2008)",Drama,4.235227490758506
8933,32126,April Captains (CapitÃ£es de Abril) (2000),Drama,4.230309522022411
6569,6691,Dust (2001),Drama|Western,4.226786933074077
9606,48123,"Long Voyage Home, The (1940)",Drama|War,4.219230394400022
10251,59858,Steamboat Round the Bend (1935),Comedy|Drama,4.219230394400022
8485,26326,"Holy Mountain, The (MontaÃ±a sagrada, La) (1973)",Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi,4.218463808461522
8526,26498,Boy Meets Girl (1984),Drama,4.217541354557727
10041,56015,Kansas City Confidential (1952),Crime|Drama|Film-Noir|Mystery,4.216368903247233
10168,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,4.215755552491537
